ID,캐릭터 이름,대사,스프라이트 이름
,,나와 마찬가지로\n이렇다 할 재능이 없는 사람이 있는 건가...?,
,,...그렇게 생각하자 약간의 용기가 솟아난다.\n아무리 나라지만 한심한 성격이다.,
,,뭐' 그건 됐다 치고...\n문제는...,
,,"그런 ""초고교급"" 멤버들 사이에\n어째서 평범한 고교생인 내가 선택된 것인가.",
,,키보가미네 학원에서 준\n이 입학 통지서를 보면 알 수 있다.,
14,나에기 마코토,「이번에 우리 학교에서 평범한 학생 중\n추첨으로 한 명을 선출했습니다.」,
,,"「그 결과로 당선된 당신을 ⓖ""초고교급 행운""ⓐ으로'\n우리 학교에 입학시키게 되었습니다.」",
,,"즉' 내가 선택된 것은 단순한 ⓖ""운""ⓐ이라는 것이다.\n여기 써있기도 하고...",
,,이게 사실이라면 자퇴하는 것이 좋았을지도 모르지만...,
,,"ⓖ""졸업하면 성공과 마찬가지""ⓐ라는 걸\n듣고나자 자퇴할 수 없었다...",
15,나에기 마코토,막상 이렇게 학교를 마주하고 나니...,
,,역시 안되겠다' 하는 겁도 난다...,
,,...그래도 언제까지고 교문 앞에서\n풀 죽어 있을 수도 없지...,
,,혼자 투덜거리며'\n나는 입학통지서로 시선을 돌렸다.,
,,"통지서에는 ⓖ""신입생은 8시에 현관에 집합""ⓐ이라 써 있었다.",
,,집합 시간까지는 아직 시간이 있지만...,
,,슬슬... 가볼까...,
,,좋아... 가자...!!,
,,고작 첫 등교라고 생각하지 못할 만큼\n과장된 결의를 굳히며...,
16,나에기 마코토,나는 현관으로 향했다.,
,,집합 장소인 현관은 여기다.\n아직 아무도 없는 것 같은데...,
,,현관의 시계를 올려다봤다.\n시계는 7시 10분을 가리키고 있었다.,
,,집합 시간은 8시니까... 아직 50분이나 남았다.,
,,아무도 없는 게 당연한가...,
,,긴장해서... 너무 빨리 와버렸다...,
,,집합 시간까지는 한참 남았지만\n여기에서 계속 기다려야 하나...,
,,그래' 먼저 학교를 둘러볼까.\n그 김에 긴장도 풀고.,
,,나도 이젠 이 학교의 학생이니까\n괜찮... 겠지 ?,
,,그 정도의 가벼운 마음으로\n키보가미네 학원에서의 첫 걸음을 내딛었다.,
,,새로운 학교 생활을 시작하는 희망의 첫 단계...,
,,...가 되어야 할 터였다.,
17,나에기 마코토,...앗 ! ?,
,,하지만' 그 첫걸음을 내딛자마자...,
18,나에기 마코토,내 시야가 빙글빙글 뒤틀리기 시작했다.,
19,나에기 마코토,곧 세계는 끈적한 엿처럼 녹아 합쳐졌다......,
,,빙글빙글빙글빙글'\n끈적끈적끈적끈적끈적하게 되었고...,
20,나에기 마코토,그저 어둠만이 있었다.,
,,그것이 시작이자...,
,,그리고 일상의 끝...,
,,그 시점에서...\n나는 깨달았어야 했을지도 모른다....,
,,"내가 키보가미네 학원에 온 것은'\nⓖ""초고교급 행운""ⓐ따위가 아니라...",
,,"ⓖ""초고교급 불행""ⓐ이었다는 것을...",
